date,ID_camp,ID_camp_co2,plot,weather,time,h,Pchb,Tchb,CH4,remarks
2013-04-23,1,2,2,,9:07:08,31,1007.9,29.7,6.5736050178,
2013-04-23,1,2,2,,9:29:50,31,1007.8,27.8,3.9499540377,
2013-04-23,1,2,2,,9:48:50,31,1007.8,26.3,5.2591260726,
2013-04-23,1,2,2,,10:04:00,31,1007.8,26.3,8.1364061133,
2013-04-23,1,2,1,,10:46:22,31,1005.6,28,7.5576008604,
2013-04-23,1,2,1,,11:01:56,31,1007.6,28.5,11.051929956,
2013-04-23,1,2,ETREPEE,,13:40:00,31,1007.8,25.8,18.2348300171,
2013-04-23,1,2,6,,14:02:15,31,1007.5,23,5.2730480559,
2013-04-23,1,2,5',,14:20:00,31,1008.2,24,1.9826965968,
2013-04-23,1,2,"5""",,15:03:15,31,1007.2,24.7,-16.1564228223,
2013-04-23,1,2,3,,15:35:30,31,1006.9,20,23.9297919213,
2013-04-23,1,2,3,,16:19:45,31,1007,19,17.7671453973,
2013-04-23,1,2,5,,16:59:30,31,1006,17.3,8.0366794515,
2013-04-24,1,2,2,,8:59:45,31,1010.5,23,5.419728327,
2013-04-24,1,2,6,,9:49:20,31,1010.5,26.3,4.0457751659,
2013-04-24,1,2,ETREPEE,,10:08:30,31,1010.5,26.3,20.4451870911,
2013-04-24,1,2,ETREPEE,,12:16:15,31,1009,35,21.4467240133,
2013-04-24,1,2,5',,10:42:00,31,1009.8,29.9,3.7689258636,
2013-04-24,1,2,5',,10:54:00,31,1010,28.3,3.5699196609,
2013-04-24,1,2,5,,11:34:30,31,1009.5,35.7,7.0103632349,
2013-04-24,1,2,5,,11:45:00,31,1009.3,34.9,7.0638111763,
2013-04-24,1,2,"5""",,13:24:45,31,1009.5,32.4,4.6050343326,
2013-04-24,1,2,3,,14:02:30,31,1008,33,11.442270343,
2013-04-24,1,2,3,,14:16:30,31,1008.3,31.6,11.2467212217,
2013-04-24,1,2,4,,14:35:50,31,1008.1,33,16.1140329732,
2013-04-24,1,2,1,,,31,1008.1,27,9.0360957168,
2013-06-11,2,4,2,cloudy,8:49:05,31,1002.6,20.4,57.7,
2013-06-11,2,4,2,cloudy,9:02:30,31,1002.2,22.4,82.4,
2013-06-11,2,4,ETREPEE,cloudy,9:38:10,31,1002,22,55.7,
2013-06-11,2,4,6,cloudy,10:23:20,31,1002.2,22.6,22.4,
2013-06-11,2,4,5,cloudy,11:58:15,31,1002.3,25.5,27.4,
2013-06-11,2,4,5,cloudy,12:11:20,31,1002.3,23.7,29.9,
2013-06-11,2,4,"5""",cloudy,12:20:00,31,1002.7,24.2,54.4,
2013-06-11,2,4,"5""",cloudy,12:35:00,31,1002,23.1,51.3,
2013-06-11,2,4,3,cloudy,13:19:30,31,1002.2,25.2,13.6,
2013-06-11,2,4,4,cloudy,14:09:00,31,1002.2,25.2,16,
2013-06-11,2,4,4,cloudy,14:25:00,31,1002,24.8,16.8,
2013-06-11,2,4,1,cloudy,15:03:20,31,1002.4,22.2,34.7,
2013-06-11,2,4,1,cloudy,15:21:00,31,1002.5,25.2,30.6,
2013-07-05,3,5,2,sunny,8:45:00,31,1012.5,24.8,121.4532938066,
2013-07-05,3,5,2,sunny,9:07:30,31,1012.5,34.6,133.647301755,
2013-07-05,3,5,5',sunny,,31,1011.7,27,102.3786797767,
2013-07-05,3,5,6,sunny,10:57:30,31,1011.5,29.9,37.317339604,
2013-07-05,3,5,6,sunny,11:09:30,31,1011.4,31.8,27.8108462775,
2013-07-05,3,5,ETREPEE,sunny,,31,1011.6,32.3,80.9673245422,
2013-07-05,3,5,5,sunny,,31,1011.6,33.6,39.9433574829,
2013-07-05,3,5,5,sunny,12:56:00,31,1011,31.9,44.8357152984,
2013-07-05,3,5,3,sunny,13:38:00,31,1010.7,30.5,35.3534271047,
2013-07-05,3,5,3,sunny,13:57:30,31,1011.4,32.6,33.2856801963,
2013-07-05,3,5,4,sunny,14:31:00,31,1010.7,30.6,24.4292346717,
2013-07-05,3,5,4,sunny,14:43:59,31,1010.4,34.5,25.4587163797,
2013-07-05,3,5,4,sunny,14:50:13,31,1010.4,36.1,22.2828688176,a little fluctuation between 180s and 230s
2013-07-05,3,5,1,sunny,15:23:21,31,1010.7,35.4,48.4645032408,
2013-07-05,3,5,1,sunny,15:40:30,31,1010.7,36.1,61.9964360627,
2013-07-24,4,6,2,,8:51:00,31,1000.5,33.1,68.4,
2013-07-24,4,6,5',,9:17:30,31,1000.5,31.5,2820,
2013-07-24,4,6,5',,9:17:30,31,1000.5,31.5,233,
2013-07-24,4,6,6,,10:04:45,31,1000.5,32.6,29.6,
2013-07-24,4,6,ETREPEE,,10:33:00,31,1000.4,34.1,194,
2013-07-24,4,6,5,,11:55:50,31,999.6,34.4,139,
2013-07-24,4,6,4,,12:49:30,31,994.3,39.8,18.8,
2013-07-24,4,6,3,,13:31:30,31,999.2,37.5,12,
2013-07-24,4,6,1,,14:11:30,31,999,33.7,45.9,
2013-08-28,5,7,2,,08:38:15,31,1,0,173,
2013-08-28,5,7,2,,08:54:20,31,1,0,55.2,
2013-08-28,5,7,2,,09:07:20,31,1,0,47.2,
2013-08-28,5,7,5',,09:40:20,31,1,0,91.2,
2013-08-28,5,7,5',,09:49:30,31,1,0,87.3,
2013-08-28,5,7,5',,10:02:30,31,1,0,85.5,
2013-08-28,5,7,6,,10:27:00,31,1,0,29.7,
2013-08-28,5,7,6,,10:41:40,31,1,0,29.4,
2013-08-28,5,7,ETREPEE,,11:02:00,31,1,0,204,
2013-08-28,5,7,ETREPEE,,11:23:30,31,1,0,199,
2013-08-28,5,7,5,,12:18:00,31,1,0,42.3,
2013-08-28,5,7,5,,12:39:00,31,1,0,43.7,
2013-08-28,5,7,3,,13:15:30,31,1,0,21.2,
2013-08-28,5,7,3,,13:28:00,31,1,0,33.7,
2013-08-28,5,7,4,,13:51:31,31,1,0,21.3,
2013-08-28,5,7,4,,14:05:18,31,1,0,22.4,
2013-08-28,5,7,1,,14:33:12,31,1,0,50.3,
2013-08-28,5,7,1,,14:45:34,31,1,0,63.1,
2013-08-29,5,7,2,,08:20:15,31,1,0,76.5,
2013-08-29,5,7,2,,08:33:45,31,1,0,206,
2013-08-29,5,7,2,,08:47:50,31,1,0,76.1,
2013-08-29,5,7,5',,09:18:45,31,1,0,80.2,
2013-08-29,5,7,5',,09:31:50,31,1,0,67.1,
2013-08-29,5,7,5',,09:45:10,31,1,0,80.8,
2013-08-29,5,7,6,,10:09:45,31,1,0,28.8,
2013-08-29,5,7,6,,10:23:00,31,1,0,29.5,
2013-08-29,5,7,ETREPEE,,10:43:00,31,1,0,187,
2013-08-29,5,7,ETREPEE,,11:12:30,31,1,0,182,
2013-08-29,5,7,5,,11:46:45,31,1,0,40.5,
2013-08-29,5,7,5,,12:00:30,31,1,0,43.1,
2013-08-29,5,7,4,,12:40:40,31,1,0,19.9,
2013-08-29,5,7,4,,NA,31,1,0,NA,
2013-08-29,5,7,3,,13:24:20,31,1,0,31.4,
2013-08-29,5,7,3,,13:37:50,31,1,0,26.2,
2013-08-29,5,7,1,,NA,31,1,0,NA,
2013-08-29,5,7,1,,14:32:45,31,1,0,NA,
2013-08-29,5,7,2,,15:00:00,31,1,0,81,
2013-08-29,5,7,2,,14:32:45,31,1,0,50.8,
2013-11-14,6,none,2,,10:04:30,31,1010.6,13,95.1625114142,
2013-11-14,6,none,6,,10:57:30,31,1010,12.8,15.533001609,
2013-11-14,6,none,ETREPEE,,11:17:30,31,1010,12.6,32.1415725586,
2013-11-14,6,none,3,,12:41:30,31,1010,10.7,22.1458123326,
2013-11-14,6,none,4,,13:09:30,31,1010,12,15.1805727815,
2013-11-14,6,none,1,,14:14:30,31,1009,13.5,33.8454932449,
2013-11-14,6,none,2,,14:35:30,31,1009,13.6,48.5211805371,
2013-11-14,6,none,5,,15:28:30,31,1009,13.6,23.313480138,
2014-04-22,7,11,1,cloudy,12:00:00,31,992,31.4,49.7707738588,d'après Chiheb : joli fit
2014-04-22,7,11,2,cloudy,12:14:00,31,992,36.5,1.3849524755,d'après Chiheb : joli fit
2014-04-22,7,11,3,cloudy,13:44:00,31,992,21,14.3280688745,arrêt spirit avant
2014-04-22,7,11,4,cloudy,14:04:00,31,992,22.6,13.1254985458,
2014-04-22,7,11,4,cloudy,14:12:00,31,992,22.4,15.0107224365,
2014-04-22,7,11,6,cloudy,12:49:00,31,992,25.7,37.9783083266,
2014-04-22,7,11,ETREPEE,cloudy,13:02:00,31,992,24.7,27.1829918603,
2014-05-19,8,12,1,very sunny,9:52:45,31,986,31.5,39.8040366382,
2014-05-19,8,12,2,very sunny,9:37:00,31,986,31.8,94.5921961955,
2014-05-19,8,12,6,very sunny,8:36:10,31,986,26.2,34.1256675443,Fit excellent
2014-05-19,8,12,5',very sunny,9:11:00,31,986,27.3,87.8147748868,
2014-05-19,8,12,ETREPEE,very sunny,8:46:30,31,986,27,56.0715496701,
2014-06-17,9,13,1,cloudy,10:42:36,31,1002,21.7,164.645458616,
2014-06-17,9,13,2,cloudy,10:08:00,31,1001,23.7,245.0591674528,
2014-06-17,9,13,2,cloudy,10:20:10,31,1001,23.7,184.7369108491,
2014-06-17,9,13,6,cloudy,9:09:00,31,1001,20,80.5541891709,
2014-06-17,9,13,5',cloudy,9:34:18,31,1001,19.8,210.118751451,
2014-06-17,9,13,ETREPEE,cloudy,9:16:00,31,1001,21.4,129.1858989474,
2014-07-22,10,14,1,cloudy,10:41:30,31,1002,29,117.9048126316,
2014-07-22,10,14,2,cloudy,10:27:30,31,1002,26,238.4244762287,
2014-07-22,10,14,6,cloudy,9:41:45,31,1002,24.9,84.8215662685,
2014-07-22,10,14,5',cloudy,10:08:30,31,1002,26,265.886981344,
2014-07-22,10,14,ETREPEE,cloudy,9:53:00,31,1002,25,201.649794163,
2014-09-17,11,16,1,cloudy,16:03:40,31,987,23.8,244.0278214214,
2014-09-17,11,16,2,cloudy,16:19:45,31,987,23.6,1586.6302770475,
2014-09-17,11,16,6,cloudy,17:19:15,31,987,22.3,119.1474524645,
2014-09-17,11,16,5',cloudy,16:47:00,31,987,23,227.2982,
2014-09-17,11,16,ETREPEE,cloudy,17:01:00,31,987,22.2,105.4880532272,
2014-11-20,12,18,1,cloudy,14:17:00,31,1001,13.2,79.2104481174,
2014-11-20,12,18,2,cloudy,14:36:00,31,1001,12.3,175.1261775753,
2014-11-20,12,18,6,cloudy,15:02:00,31,1001,14.7,34.6035543919,
2014-11-20,12,18,5',cloudy,15:41:00,31,1001,11.6,45.723366484,
2014-11-20,12,18,ETREPEE,cloudy2 cm d'eau dans embase,15:23:00,31,1001,14.7,52.3589362335,
