placette,date,Veg,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
p01,2013-06-11,Calluna,,,,,,,,,,,,,,,,,,,,
p01,2013-06-11,Erica,9.00,20.00,19.00,35.00,14.00,15.00,6.00,11.50,7.00,6.50,,,,,,,,,,
p01,2013-06-11,Sphagnum,,,,,,,,,,,,,,,,,,,,
p01,2013-06-11,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p01,2013-06-11,Molinia,,,,,,,,,,,,,,,,,,,,
p01,2013-06-11,Eriophorum,,,,,,,,,,,,,,,,,,,,
p01,2013-06-11,Polytrick,,,,,,,,,,,,,,,,,,,,
p01,2013-06-11,Mousse,,,,,,,,,,,,,,,,,,,,
p02,2013-06-11,Calluna,14.00,20.00,20.50,15.00,,,,,,,,,,,,,,,,
p02,2013-06-11,Erica,11.00,14.00,22.00,9.00,20.00,12.50,14.50,11.50,10.00,15.00,,,,,,,,,,
p02,2013-06-11,Sphagnum,16.00,,,,,,,,,,,,,,,,,,,
p02,2013-06-11,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p02,2013-06-11,Molinia,,,,,,,,,,,,,,,,,,,,
p02,2013-06-11,Eriophorum,,,,,,,,,,,,,,,,,,,,
p02,2013-06-11,Polytrick,,,,,,,,,,,,,,,,,,,,
p02,2013-06-11,Mousse,,,,,,,,,,,,,,,,,,,,
p03,2013-06-11,Calluna,14.00,14.00,13.00,14.00,28.00,23.00,15.00,18.00,,,,,,,,,,,,
p03,2013-06-11,Erica,10.00,11.00,12.00,17.00,8.00,,,,,,,,,,,,,,,
p03,2013-06-11,Sphagnum,11.50,,,,,,,,,,,,,,,,,,,
p03,2013-06-11,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p03,2013-06-11,Molinia,,,,,,,,,,,,,,,,,,,,
p03,2013-06-11,Eriophorum,,,,,,,,,,,,,,,,,,,,
p03,2013-06-11,Polytrick,,,,,,,,,,,,,,,,,,,,
p03,2013-06-11,Mousse,,,,,,,,,,,,,,,,,,,,
p04,2013-06-11,Calluna,,,,,,,,,,,,,,,,,,,,
p04,2013-06-11,Erica,6.00,10.00,14.00,20.00,10.00,12.00,9.00,6.00,9.00,,,,,,,,,,,
p04,2013-06-11,Sphagnum,52.50,,,,,,,,,,,,,,,,,,,
p04,2013-06-11,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p04,2013-06-11,Molinia,,,,,,,,,,,,,,,,,,,,
p04,2013-06-11,Eriophorum,,,,,,,,,,,,,,,,,,,,
p04,2013-06-11,Polytrick,,,,,,,,,,,,,,,,,,,,
p04,2013-06-11,Mousse,,,,,,,,,,,,,,,,,,,,
p05,2013-06-11,Calluna,,,,,,,,,,,,,,,,,,,,
p05,2013-06-11,Erica,,,,,,,,,,,,,,,,,,,,
p05,2013-06-11,Sphagnum,18.00,,,,,,,,,,,,,,,,,,,
p05,2013-06-11,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p05,2013-06-11,Molinia,,,,,,,,,,,,,,,,,,,,
p05,2013-06-11,Eriophorum,,,,,,,,,,,,,,,,,,,,
p05,2013-06-11,Polytrick,,,,,,,,,,,,,,,,,,,,
p05,2013-06-11,Mousse,,,,,,,,,,,,,,,,,,,,
p06,2013-06-11,Calluna,15.00,11.00,15.00,,,,,,,,,,,,,,,,,
p06,2013-06-11,Erica,7.00,7.00,6.00,5.00,20.00,25.00,25.00,14.00,18.00,,,,,,,,,,,
p06,2013-06-11,Sphagnum,,,,,,,,,,,,,,,,,,,,
p06,2013-06-11,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p06,2013-06-11,Molinia,,,,,,,,,,,,,,,,,,,,
p06,2013-06-11,Eriophorum,,,,,,,,,,,,,,,,,,,,
p06,2013-06-11,Polytrick,,,,,,,,,,,,,,,,,,,,
p06,2013-06-11,Mousse,,,,,,,,,,,,,,,,,,,,
p07,2013-06-11,Calluna,,,,,,,,,,,,,,,,,,,,
p07,2013-06-11,Erica,8.00,5.00,10.00,7.00,5.00,29.00,14.00,21.00,9.00,12.00,,,,,,,,,,
p07,2013-06-11,Sphagnum,7.00,,,,,,,,,,,,,,,,,,,
p07,2013-06-11,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p07,2013-06-11,Molinia,,,,,,,,,,,,,,,,,,,,
p07,2013-06-11,Eriophorum,,,,,,,,,,,,,,,,,,,,
p07,2013-06-11,Polytrick,,,,,,,,,,,,,,,,,,,,
p07,2013-06-11,Mousse,,,,,,,,,,,,,,,,,,,,
p08,2013-06-11,Calluna,,,,,,,,,,,,,,,,,,,,
p08,2013-06-11,Erica,24.00,18.00,12.00,12.00,27.00,29.50,9.00,9.00,18.00,12.50,,,,,,,,,,
p08,2013-06-11,Sphagnum,1.00,,,,,,,,,,,,,,,,,,,
p08,2013-06-11,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p08,2013-06-11,Molinia,,,,,,,,,,,,,,,,,,,,
p08,2013-06-11,Eriophorum,,,,,,,,,,,,,,,,,,,,
p08,2013-06-11,Polytrick,,,,,,,,,,,,,,,,,,,,
p08,2013-06-11,Mousse,,,,,,,,,,,,,,,,,,,,
p09,2013-06-11,Calluna,,,,,,,,,,,,,,,,,,,,
p09,2013-06-11,Erica,8.00,7.00,12.00,9.00,13.00,20.00,17.00,6.00,,,,,,,,,,,,
p09,2013-06-11,Sphagnum,,,,,,,,,,,,,,,,,,,,
p09,2013-06-11,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p09,2013-06-11,Molinia,,,,,,,,,,,,,,,,,,,,
p09,2013-06-11,Eriophorum,,,,,,,,,,,,,,,,,,,,
p09,2013-06-11,Polytrick,,,,,,,,,,,,,,,,,,,,
p09,2013-06-11,Mousse,12.00,,,,,,,,,,,,,,,,,,,
p10,2013-06-11,Calluna,,,,,,,,,,,,,,,,,,,,
p10,2013-06-11,Erica,24.00,22.00,8.00,6.00,13.00,14.00,22.00,17.00,10.50,11.50,,,,,,,,,,
p10,2013-06-11,Sphagnum,,,,,,,,,,,,,,,,,,,,
p10,2013-06-11,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p10,2013-06-11,Molinia,,,,,,,,,,,,,,,,,,,,
p10,2013-06-11,Eriophorum,,,,,,,,,,,,,,,,,,,,
p10,2013-06-11,Polytrick,,,,,,,,,,,,,,,,,,,,
p10,2013-06-11,Mousse,,,,,,,,,,,,,,,,,,,,
p11,2013-06-12,Calluna,,,,,,,,,,,,,,,,,,,,
p11,2013-06-12,Erica,19.00,7.00,9.00,10.00,10.00,10.50,8.00,12.00,,,,,,,,,,,,
p11,2013-06-12,Sphagnum,,,,,,,,,,,,,,,,,,,,
p11,2013-06-12,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p11,2013-06-12,Molinia,,,,,,,,,,,,,,,,,,,,
p11,2013-06-12,Eriophorum,,,,,,,,,,,,,,,,,,,,
p11,2013-06-12,Polytrick,,,,,,,,,,,,,,,,,,,,
p11,2013-06-12,Mousse,,,,,,,,,,,,,,,,,,,,
p12,2013-06-12,Calluna,,,,,,,,,,,,,,,,,,,,
p12,2013-06-12,Erica,21.00,34.00,28.00,29.00,,,,,,,,,,,,,,,,
p12,2013-06-12,Sphagnum,,,,,,,,,,,,,,,,,,,,
p12,2013-06-12,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p12,2013-06-12,Molinia,,,,,,,,,,,,,,,,,,,,
p12,2013-06-12,Eriophorum,,,,,,,,,,,,,,,,,,,,
p12,2013-06-12,Polytrick,,,,,,,,,,,,,,,,,,,,
p12,2013-06-12,Mousse,,,,,,,,,,,,,,,,,,,,
p13,2013-06-12,Calluna,,,,,,,,,,,,,,,,,,,,
p13,2013-06-12,Erica,29.00,30.00,28.00,18.00,3.00,,,,,,,,,,,,,,,
p13,2013-06-12,Sphagnum,,,,,,,,,,,,,,,,,,,,
p13,2013-06-12,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p13,2013-06-12,Molinia,,,,,,,,,,,,,,,,,,,,
p13,2013-06-12,Eriophorum,,,,,,,,,,,,,,,,,,,,
p13,2013-06-12,Polytrick,,,,,,,,,,,,,,,,,,,,
p13,2013-06-12,Mousse,,,,,,,,,,,,,,,,,,,,
p14,2013-06-12,Calluna,,,,,,,,,,,,,,,,,,,,
p14,2013-06-12,Erica,19.00,9.00,26.00,19.00,20.00,12.00,5.00,6.00,,,,,,,,,,,,
p14,2013-06-12,Sphagnum,,,,,,,,,,,,,,,,,,,,
p14,2013-06-12,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p14,2013-06-12,Molinia,,,,,,,,,,,,,,,,,,,,
p14,2013-06-12,Eriophorum,,,,,,,,,,,,,,,,,,,,
p14,2013-06-12,Polytrick,,,,,,,,,,,,,,,,,,,,
p14,2013-06-12,Mousse,,,,,,,,,,,,,,,,,,,,
p15,2013-06-12,Calluna,,,,,,,,,,,,,,,,,,,,
p15,2013-06-12,Erica,12.00,21.00,23.00,12.00,3.00,6.00,8.00,10.00,7.50,8.00,13.00,14.00,,,,,,,,
p15,2013-06-12,Sphagnum,,,,,,,,,,,,,,,,,,,,
p15,2013-06-12,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p15,2013-06-12,Molinia,,,,,,,,,,,,,,,,,,,,
p15,2013-06-12,Eriophorum,,,,,,,,,,,,,,,,,,,,
p15,2013-06-12,Polytrick,,,,,,,,,,,,,,,,,,,,
p15,2013-06-12,Mousse,,,,,,,,,,,,,,,,,,,,
p16,2013-06-12,Calluna,,,,,,,,,,,,,,,,,,,,
p16,2013-06-12,Erica,12.00,7.00,4.00,10.00,6.00,,,,,,,,,,,,,,,
p16,2013-06-12,Sphagnum,,,,,,,,,,,,,,,,,,,,
p16,2013-06-12,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p16,2013-06-12,Molinia,,,,,,,,,,,,,,,,,,,,
p16,2013-06-12,Eriophorum,,,,,,,,,,,,,,,,,,,,
p16,2013-06-12,Polytrick,,,,,,,,,,,,,,,,,,,,
p16,2013-06-12,Mousse,,,,,,,,,,,,,,,,,,,,
p17,2013-06-12,Calluna,,,,,,,,,,,,,,,,,,,,
p17,2013-06-12,Erica,9.00,7.50,7.50,13.00,22.00,19.00,18.00,11.00,17.00,9.00,,,,,,,,,,
p17,2013-06-12,Sphagnum,36.50,,,,,,,,,,,,,,,,,,,
p17,2013-06-12,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p17,2013-06-12,Molinia,,,,,,,,,,,,,,,,,,,,
p17,2013-06-12,Eriophorum,,,,,,,,,,,,,,,,,,,,
p17,2013-06-12,Polytrick,,,,,,,,,,,,,,,,,,,,
p17,2013-06-12,Mousse,,,,,,,,,,,,,,,,,,,,
p18,2013-06-12,Calluna,,,,,,,,,,,,,,,,,,,,
p18,2013-06-12,Erica,,,,,,,,,,,,,,,,,,,,
p18,2013-06-12,Sphagnum,,,,,,,,,,,,,,,,,,,,
p18,2013-06-12,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p18,2013-06-12,Molinia,,,,,,,,,,,,,,,,,,,,
p18,2013-06-12,Eriophorum,,,,,,,,,,,,,,,,,,,,
p18,2013-06-12,Polytrick,,,,,,,,,,,,,,,,,,,,
p18,2013-06-12,Mousse,,,,,,,,,,,,,,,,,,,,
p19,2013-06-12,Calluna,,,,,,,,,,,,,,,,,,,,
p19,2013-06-12,Erica,25.50,14.50,14.00,18.00,7.50,9.50,16.00,3.00,10.00,4.00,,,,,,,,,,
p19,2013-06-12,Sphagnum,51.50,,,,,,,,,,,,,,,,,,,
p19,2013-06-12,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p19,2013-06-12,Molinia,,,,,,,,,,,,,,,,,,,,
p19,2013-06-12,Eriophorum,,,,,,,,,,,,,,,,,,,,
p19,2013-06-12,Polytrick,,,,,,,,,,,,,,,,,,,,
p19,2013-06-12,Mousse,,,,,,,,,,,,,,,,,,,,
p20,2013-06-12,Calluna,,,,,,,,,,,,,,,,,,,,
p20,2013-06-12,Erica,8.00,16.00,7.00,15.00,5.00,,,,,,,,,,,,,,,
p20,2013-06-12,Sphagnum,,,,,,,,,,,,,,,,,,,,
p20,2013-06-12,Sphg.Cuspi,,,,,,,,,,,,,,,,,,,,
p20,2013-06-12,Molinia,,,,,,,,,,,,,,,,,,,,
p20,2013-06-12,Eriophorum,,,,,,,,,,,,,,,,,,,,
p20,2013-06-12,Polytrick,,,,,,,,,,,,,,,,,,,,
p20,2013-06-12,Mousse,,,,,,,,,,,,,,,,,,,,
